image_id,left,top,width,height,tag_name
361f72b5-db0a-4aa7-bcef-a5b3101125f9,0.6395582,0.0,0.10740108,0.14776269,rru
361f72b5-db0a-4aa7-bcef-a5b3101125f9,0.772766,0.16059849,0.22664931,0.40633526,panel
361f72b5-db0a-4aa7-bcef-a5b3101125f9,0.6616311,0.0,0.09780415,0.07054749,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.13890542,0.35522968,0.06659715,0.08126902,panel
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.31662592,0.22723247,0.068993844,0.059279285,shrout
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.64068216,0.20905432,0.050231036,0.08009239,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.049717013,0.40278298,0.093203634,0.116592765,mesh
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.739724,0.26342732,0.1208356,0.16986363,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.00923256,0.40937123,0.118623815,0.08040207,solid
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.6734089,0.2869621,0.059708167,0.0912619,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.30647942,0.76876026,0.029472057,0.04641124,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.34582683,0.7497729,0.04098837,0.069196045,radome
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.2567291,0.36955893,0.029296076,0.041084737,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.6984572,0.23178175,0.070931576,0.1293573,rru
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.5239923,0.14013053,0.11228407,0.07341772,solid
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.5118963,0.13230829,0.14438759,0.09886284,solid
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.5118963,0.124713354,0.10791925,0.07481221,solid
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.80534023,0.4294442,0.18094641,0.28796896,panel
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.36940902,0.19178943,0.027727053,0.10611473,solid
96431dba-ec76-43aa-b16a-8ea8f02fd0fe,0.8944338,0.3996242,0.10556622,0.39746836,shrout
6d821f33-0b71-435a-a502-cf1e8848ab08,0.46273378,0.25346556,0.0903924,0.061975304,shrout
